FILIAL;CODIGO;NCM;DESCRICAO;PRECO;UND
08.393.837/0001-50;367;25171000; BRITA 19MM /CONCRETO;2.7;LATA
08.393.837/0001-50;1261;84818011; REGISTRO DE PRESSÃO 1400 3/4 BRUTO;15;UND
08.393.837/0001-50;710;25059000;1/2 CARRADA DE AREIA MEDIA;150;UND
08.393.837/0001-50;1048;85366990;2INTERRUPTOR + TOM 10 A TRAMONTINA;13;UND
08.393.837/0001-50;1049;85366990;2TOMADAS 10 A LUX2 TRAMONTINA;9.5;UND
08.393.837/0001-50;375;39269090;ABRAÇADEIRA DE NYLON  280X4.8;0.3;UND
08.393.837/0001-50;376;39269090;ABRAÇADEIRA DE NYLON 100X4.8 BRANCA ;0.1;UND
08.393.837/0001-50;377;39269090;ABRAÇADEIRA DE NYLON 140X4.8 BRANCA ;0.15;UND
08.393.837/0001-50;374;39269090;ABRAÇADEIRA DE NYLON 200X4.8 BRANCA ;0.2;UND
08.393.837/0001-50;1426;38259000;ACIDO MURIATICO;4;UND
08.393.837/0001-50;875;28070010;ACIDO MURIATICO 1L;4;UND
08.393.837/0001-50;694;73079100;ADAPTADOR COM FLANGE 1/2;5;UND
08.393.837/0001-50;1181;39174090;ADAPTADOR COM FRANGE 20X1/2 VIQUA;6.5;UND
08.393.837/0001-50;488;39174090;ADAPTADOR CURTO 1/2 KRONA ;0.5;UND
08.393.837/0001-50;1208;39174090;ADAPTADOR DE 1/2 SOLD;0.5;UND
08.393.837/0001-50;1283;39174090;ADAPTADOR SOLD CURTO  40MM KRONA;1.85;UND
08.393.837/0001-50;1371;39172300;ADAPTADOR SOLD CURTO 20MM X 1/2 KRONA;0.5;UND
08.393.837/0001-50;1372;39172300;ADAPTADOR SOLD CURTO 25MM X 3/4 KRONA;0.8;UND
08.393.837/0001-50;1373;39172300;ADAPTADOR SOLD CURTO 32 MM X 1 KRONA;2;UND
08.393.837/0001-50;1284;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 20MM KRONA;5.5;UND
08.393.837/0001-50;1285;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 25MM KRONA;6.5;UND
08.393.837/0001-50;1286;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 32MM KRONA;9.9;UND
08.393.837/0001-50;1287;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 40MM KRONA;11.09;UND
08.393.837/0001-50;1288;39174090;ADAPTADOR SOLD P/CAIXA DAGUA 50MM KRONA;10.46;UND
08.393.837/0001-50;681;39174090;ADAPTADOR SOLDAVEL 3/4 KRONA ;0.8;UND
08.393.837/0001-50;1209;39174090;ADAPTADOR SOLDAVEL KRONA 25X3/4;0.8;UND
08.393.837/0001-50;401;38089919;ADESIVO GRUDA RATO BRAND;4.5;UND
08.393.837/0001-50;1440;35061090;ADESIVO PLASTICO CARPLASTC ;0;UND
08.393.837/0001-50;386;35061010;ADESIVO SUPER BOND 1.5G;2.5;UND
08.393.837/0001-50;693;73079100;ADPTADOR COM FLANGE 50MM;13;UND
08.393.837/0001-50;748;39174090;ADPTADOR COM FRANGE 3/4 KRONA;6;UND
08.393.837/0001-50;1146;73023000;ALAVANCA DE FERRO GRANDE;70;UND
